File/Directory Name,Category,Format,Description,Key Columns/Contents,Generated By
spca_scores_materials.csv,Clustering,CSV,Sparse PCA scores for materials (5 components),"material, SPC1, SPC2, SPC3, SPC4, SPC5",clustering/sparse_pca.py
fa_scores_scenarios.csv,Clustering,CSV,Factor Analysis scores for scenarios (4 factors),"scenario, FA1, FA2, FA3, FA4",clustering/factor_analysis.py
fa_scores_materials.csv,Clustering,CSV,Factor Analysis scores for materials (5 factors),"material, FA1, FA2, FA3, FA4, FA5",clustering/factor_analysis.py
fa_loadings_scenarios.csv,Clustering,CSV,Factor Analysis loading matrix for scenarios,"feature, FA1, FA2, FA3, FA4",clustering/factor_analysis.py
fa_loadings_materials.csv,Clustering,CSV,Factor Analysis loading matrix for materials,"feature, FA1, FA2, FA3, FA4, FA5",clustering/factor_analysis.py
fa_communalities_scenarios.csv,Clustering,CSV,Factor Analysis communalities per scenario feature,"feature, communality, uniqueness",clustering/factor_analysis.py
fa_communalities_materials.csv,Clustering,CSV,Factor Analysis communalities per material feature,"feature, communality, uniqueness",clustering/factor_analysis.py
comparison_metrics_scenarios.csv,Clustering Comparison,CSV,Clustering comparison metrics per method for scenarios,"method, n_input_features, optimal_k, silhouette, stability_ari, cluster_balance, ...",clustering/clustering_comparison.py
comparison_metrics_materials.csv,Clustering Comparison,CSV,Clustering comparison metrics per method for materials,"method, n_input_features, optimal_k, silhouette, stability_ari, cluster_balance, ...",clustering/clustering_comparison.py
comparison_pairwise_ari_scenarios.csv,Clustering Comparison,CSV,4x4 pairwise ARI matrix between clustering methods for scenarios,"Rows/Columns: VIF-Pruned, PCA, Sparse PCA, Factor Analysis",clustering/clustering_comparison.py
comparison_pairwise_ari_materials.csv,Clustering Comparison,CSV,4x4 pairwise ARI matrix between clustering methods for materials,"Rows/Columns: VIF-Pruned, PCA, Sparse PCA, Factor Analysis",clustering/clustering_comparison.py
comparison_labels_scenarios.csv,Clustering Comparison,CSV,Scenario cluster labels per method,"scenario, VIF-Pruned, PCA, Sparse PCA, Factor Analysis",clustering/clustering_comparison.py
comparison_labels_materials.csv,Clustering Comparison,CSV,Material cluster labels per method,"material, VIF-Pruned, PCA, Sparse PCA, Factor Analysis",clustering/clustering_comparison.py
comparison_summary_report.txt,Clustering Comparison,TXT,Human-readable clustering comparison summary with recommendation,Method comparison tables + pairwise ARI + recommendation,clustering/clustering_comparison.py
outputs/figures/manuscript/,Directory,PNG/PDF,Publication-quality manuscript figures (9 main text + 21 SI),"fig2 (technology breakdown), figs1 (capacity/additions), figs3 (intensity distributions), etc.",visualizations/generate_manuscript_figures.py
outputs/figures/clustering/,Directory,PNG/PDF,Clustering analysis visualizations,"elbow plots, PCA biplots, silhouette plots, cluster profiles",clustering/visualization.py
outputs/figures/exploratory/,Directory,PNG,Exploratory data analysis visualizations,Scatterplot matrices and correlation heatmaps for features,visualizations/feature_scatterplots.py
outputs/figures/supply_chain_risk/,Directory,PNG + CSV,Supply chain risk visualizations and summary tables,Risk ranking charts and heatmaps with CSV summaries,visualizations/risk_ranking_chart.py
outputs/figures/sensitivity/,Directory,PNG,Sensitivity analysis visualizations,Variance decomposition and elasticity plots,analysis/sensitivity_analysis.py
outputs/figures/clustering/comparison/,Directory,PNG/PDF,Clustering method comparison visualizations,Method comparison plots and stability analysis,clustering/clustering_comparison.py
outputs/data/clustering/,Directory,CSV/TXT,Clustering results and diagnostics,"Features, clusters, profiles, VIF, summary reports",clustering/main_analysis.py
outputs/data/clustering/comparison/,Directory,CSV/TXT,Clustering comparison metrics and label CSVs,Method comparison data and pairwise metrics,clustering/clustering_comparison.py
outputs/data/sensitivity/,Directory,CSV,Sensitivity analysis results,Technology contributions and variance decomposition,analysis/sensitivity_analysis.py
outputs/reports/,Directory,TXT/MD,Analysis reports and summaries,Text-based summary reports from various analyses,Various analysis scripts
